airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,170,0.0,No Info,6961
Jet Airways,2019-04-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Air India,2019-06-15,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Air India,2019-04-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6674
Goair,2019-05-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,7682
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7485
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Air India,2019-05-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Spicejet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Indigo,2019-05-24,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No Info,12284
Jet Airways,2019-03-21,Delhi,Cochin,16:00:00,18:50:00,1610,1.0,No Info,12557
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,No Info,16079
Multiple Carriers,2019-06-09,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,10877
Multiple Carriers,2019-06-12,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,15603
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,12242
Vistara,2019-05-09,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Indigo,2019-05-01,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Multiple Carriers,2019-03-27,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No Info,7574
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Indigo,2019-04-24,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,5912
Air Asia,2019-05-24,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No Info,11668
Air India,2019-05-09,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Air India,2019-04-24,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,4880
Air India,2019-03-01,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,1 Long layover,14594
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,19:50:00,280,1.0,No Info,7476
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,08:10:00,795,1.0,No Info,14231
Air Asia,2019-04-06,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,3807
Goair,2019-05-18,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,7335
Jet Airways,2019-05-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Indigo,2019-05-09,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6818
Multiple Carriers,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,14533
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,13364
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,20:45:00,855,1.0,No Info,14781
